2018-07-07 10:36:02 app\index\controller\ChangeStatus::changeOrderStatus(), 执行时间: 0.049211025238037 , 执行成功 
2018-07-07 10:37:01 app\index\controller\ChangeStatus::changeOrderStatus(), 执行时间: 0.049582004547119 , 执行成功 
2018-07-07 10:38:01 app\index\controller\ChangeStatus::changeOrderStatus(), 执行时间: 0.05101490020752 , 执行成功 
2018-07-07 10:39:01 app\index\controller\ChangeStatus::changeOrderStatus(), 执行时间: 0.058629989624023 , 执行成功 
2018-07-07 10:40:01 app\index\controller\ChangeStatus::changeOrderStatus(), 执行时间: 0.067444086074829 , 执行成功 
2018-07-07 10:41:02 app\index\controller\ChangeStatus::changeOrderStatus(), 执行时间: 0.05636191368103 , 执行成功 
2018-07-07 10:42:02 app\index\controller\ChangeStatus::changeOrderStatus(), 执行时间: 0.049513101577759 , 执行成功 
2018-07-07 10:43:02 app\index\controller\ChangeStatus::changeOrderStatus(), 执行时间: 0.067901134490967 , 执行成功 
2018-07-07 10:44:02 app\index\controller\ChangeStatus::changeOrderStatus(), 执行时间: 0.061479091644287 , 执行成功 
2018-07-07 10:45:02 app\index\controller\ChangeStatus::changeOrderStatus(), 执行时间: 0.057530164718628 , 执行成功 
2018-07-07 10:46:01 app\index\controller\ChangeStatus::changeOrderStatus(), 执行时间: 0.093709945678711 , 执行成功 
2018-07-07 10:47:01 app\index\controller\ChangeStatus::changeOrderStatus(), 执行时间: 0.058397054672241 , 执行成功 
2018-07-07 10:48:01 app\index\controller\ChangeStatus::changeOrderStatus(), 执行时间: 0.05089807510376 , 执行成功 
2018-07-07 10:49:01 app\index\controller\ChangeStatus::changeOrderStatus(), 执行时间: 0.055881023406982 , 执行成功 
2018-07-07 10:50:02 app\index\controller\ChangeStatus::changeOrderStatus(), 执行时间: 0.055966854095459 , 执行成功 
2018-07-07 10:51:02 app\index\controller\ChangeStatus::changeOrderStatus(), 执行时间: 0.057893037796021 , 执行成功 
2018-07-07 10:52:02 app\index\controller\ChangeStatus::changeOrderStatus(), 执行时间: 0.0591881275177 , 执行成功 
2018-07-07 10:53:01 app\index\controller\ChangeStatus::changeOrderStatus(), 执行时间: 0.050394058227539 , 执行成功 
2018-07-07 10:54:01 app\index\controller\ChangeStatus::changeOrderStatus(), 执行时间: 0.075752973556519 , 执行成功 
